id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,stop_duration,vehicle_type,drugs_related_stop,district
IL-2004-001108,IL,2004-01-02,15:59,ILLINOIS STATE POLICE 02,,,02,Illinois State Police,M,1977.0,27.0,Hispanic,Hispanic,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Chev 1987,,ILLINOIS STATE POLICE 02
IL-2004-001109,IL,2004-01-02,16:00,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1937.0,67.0,Caucasian,White,"License Plate/Registration,NA",Registration/plates,FALSE,,,FALSE,Written Warning,,,Ford 1996,,ILLINOIS STATE POLICE 08
IL-2004-001110,IL,2004-01-02,16:00,ILLINOIS STATE POLICE 08,,,08,Illinois State Police,M,1952.0,52.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Citation,,,Kia 2003,,ILLINOIS STATE POLICE 08
IL-2004-001111,IL,2004-01-02,16:01,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,F,1981.0,23.0,Caucasian,White,"Moving Violation,SeatBelt",Seat belt,FALSE,,,FALSE,Citation,,,Buic 1988,,ILLINOIS STATE POLICE 10
IL-2004-001112,IL,2004-01-02,16:06,ILLINOIS STATE POLICE 22,,,22,Illinois State Police,F,1982.0,22.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Ford 2003,,ILLINOIS STATE POLICE 22
IL-2004-001113,IL,2004-01-02,16:09,ILLINOIS STATE POLICE 10,,,10,Illinois State Police,M,1977.0,27.0,Hispanic,Hispanic,"Moving Violation,Other",Moving violation,TRUE,Consent,Consent,FALSE,Citation,,,Chev 1996,,ILLINOIS STATE POLICE 10
IL-2004-001114,IL,2004-01-02,16:09,ILLINOIS STATE POLICE 06,,,06,Illinois State Police,M,1960.0,44.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Citation,,,Hond 1997,,ILLINOIS STATE POLICE 06
IL-2004-001115,IL,2004-01-02,16:10,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,M,1961.0,43.0,Caucasian,White,"Moving Violation,Speed",Speeding,FALSE,,,FALSE,Written Warning,,,Audi 1991,,ILLINOIS STATE POLICE 17
IL-2004-001116,IL,2004-01-02,16:15,ILLINOIS STATE POLICE 16,,,16,Illinois State Police,M,1981.0,23.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Frht 2003,,ILLINOIS STATE POLICE 16
IL-2004-001117,IL,2004-01-02,16:16,ILLINOIS STATE POLICE 17,,,17,Illinois State Police,F,1985.0,19.0,Caucasian,White,"Equipment,NA",Equipment,FALSE,,,FALSE,Written Warning,,,Chev 1990,,ILLINOIS STATE POLICE 17
